Korean,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
일치,0,0,0,0,0,0,0,0,0,0
아코디언,0,0,0,0,0,0,0,0,0,0
계정,0,0,0,0,0,0,0,0,0,1
책임,0,0,0,0,0,0,1,0,0,1
책임 있는,0,0,0,0,0,0,1,0,0,1
회계사,0,0,0,0,0,0,0,0,0,1
회계,0,0,0,0,0,0,0,0,0,0
계정,0,0,0,0,0,0,0,0,0,1
공인,0,0,0,0,0,0,1,0,0,1
증가,0,0,0,0,0,0,0,0,0,0
생기다,0,0,0,0,0,0,0,0,0,0
아큐에일,0,0,0,0,0,0,1,0,0,0
축적하다,0,0,0,0,0,0,0,0,0,0
축적,0,0,0,0,0,0,0,0,0,0
정확성,0,0,0,0,0,0,0,0,0,0
정확한,0,0,0,0,0,0,1,0,0,1
저주 받은,1,0,0,1,0,1,0,1,0,0
고발,1,0,1,0,0,1,0,0,0,0
대격,0,0,0,0,0,1,0,0,0,0
고발 당한,1,0,0,1,0,1,0,0,0,0
고발인,1,0,0,1,0,1,0,0,0,0
고발,1,0,0,1,0,1,0,0,0,0
익숙한,0,0,0,0,0,0,0,0,0,0
에이스,0,0,0,0,0,0,1,0,0,0
초의,0,0,0,0,0,0,0,0,0,0
아픔,0,0,0,0,0,1,0,1,0,0
성취하다,0,0,0,0,1,0,1,0,0,1
성취,0,1,0,0,1,0,1,0,0,1
아프다,0,0,0,0,0,1,0,1,0,0
산,0,0,0,0,0,1,0,0,0,0
신맛,0,0,0,0,0,0,0,0,0,0
인정하다,0,0,0,0,0,0,0,0,0,0
인정,0,0,0,0,0,0,0,0,0,0
승인,0,0,0,0,0,0,1,0,0,0
절정,0,0,0,0,0,0,0,0,0,0
음향학,0,0,0,0,0,0,0,0,0,0
음향학,0,0,0,0,0,0,0,0,0,0
의히 알게 하다,0,0,0,0,0,0,0,0,0,0
아는 사람,0,0,0,0,0,0,0,0,0,0
정통한,0,0,0,0,0,0,0,0,0,0
묵종,0,0,0,0,0,0,0,0,0,0
습득하다,0,0,0,0,0,0,1,0,0,0
획득,0,1,0,0,0,0,1,0,0,0
인수,0,0,0,0,0,0,0,0,0,0
인수,0,0,0,0,0,0,0,0,0,0
토지,0,0,0,0,0,0,0,0,0,0
에이커,0,0,0,0,0,0,0,0,0,0
곡예사,0,0,0,1,1,0,1,0,0,1
행동,0,0,0,0,0,0,0,0,0,0
연기,0,0,0,0,0,0,0,0,0,0
동작,0,0,0,0,0,0,1,0,0,0
실행 가능한,1,0,1,0,0,1,0,0,0,0
활동적인,0,0,0,0,0,0,0,0,0,0
활동,0,0,0,0,0,0,0,0,0,0
배우,0,0,0,0,0,0,0,0,0,0
실제,0,0,0,0,0,0,1,0,0,0
현실,0,0,0,0,0,0,0,0,0,0
보험 수리사,0,0,0,0,0,0,0,0,0,0
날카로움,0,0,0,0,0,0,1,0,0,0
예리함,0,0,0,0,0,0,1,0,0,0
침 요법,0,0,0,0,0,0,0,0,0,0
급하게,0,0,0,0,0,0,0,0,0,0
금언,0,0,0,0,0,0,0,0,0,0
단호한,0,0,0,0,0,0,0,0,0,0
적응하다,0,0,0,0,0,0,1,0,0,0
적응할 수 있는,0,0,0,0,0,0,1,0,0,0
추가하다,0,0,0,0,0,0,0,0,0,0
추가,0,0,0,0,0,0,0,0,0,0
부록,0,0,0,0,0,0,0,0,0,0
가산기,1,0,1,1,0,1,0,1,0,0
탐닉,0,0,0,0,0,1,0,0,0,0
덧셈,0,0,0,0,0,0,0,0,0,0
추가의,0,0,0,0,0,0,0,0,0,0
첨가물,0,0,0,0,0,0,0,0,0,0
주소,0,0,0,0,0,0,0,0,0,0
수신인,0,0,0,0,0,0,0,0,0,0
구애,0,1,0,0,0,0,1,0,0,0
정통한,0,0,0,0,0,0,1,0,0,0
적절,0,0,0,0,0,0,1,0,0,0
적절한,0,0,0,0,0,0,0,0,0,0
준수하다,0,0,0,0,0,0,0,0,0,0
부착,0,0,0,0,0,0,0,0,0,0
자기편,0,0,0,0,0,0,0,0,0,0
고착,0,0,0,0,0,0,0,0,0,1
부착,0,0,0,0,0,0,0,0,0,0
점착제,0,0,0,0,0,0,0,0,0,0
안녕,0,0,0,0,0,0,0,0,0,0
지방,0,0,0,0,0,1,0,0,0,0
인접,0,0,0,0,0,0,0,0,0,0
인접한,0,0,0,0,0,0,0,0,0,0
형용사,0,0,0,0,0,0,0,0,0,0
인접한,0,0,0,0,0,0,0,0,0,0
연기하다,0,0,0,0,0,0,0,0,0,0
연기,0,0,0,0,0,0,0,0,0,0
판결하다,0,0,0,1,0,1,0,0,0,0
판결,0,0,0,0,0,0,0,0,0,0
부가어,0,0,0,0,0,0,1,0,0,0
조정하다,0,0,0,0,0,0,0,0,0,0
조정,0,0,0,0,0,0,0,0,0,0
보조제,0,0,0,0,0,0,0,0,0,0
관리하다,0,0,0,0,0,0,0,0,0,0
관리,0,0,0,0,0,0,0,0,0,0
행정,0,0,0,0,0,0,0,0,0,1
훌륭한,0,0,0,0,1,0,1,0,0,1
해군 대장,0,0,0,0,0,0,1,0,0,1
해군 대장,0,0,0,0,0,0,0,0,0,0
감탄,0,0,0,0,1,0,1,0,0,1
존경하다,0,0,0,0,0,0,1,0,0,1
숭배자,0,0,0,0,0,0,1,0,0,0
허용 성,0,0,0,0,0,0,0,0,0,0
허용,0,0,0,0,0,0,1,0,0,1
가입,0,0,0,0,0,0,0,0,0,0
인정하다,0,0,0,0,0,0,0,0,0,0
입장,0,0,0,0,0,0,0,0,0,0
인정,0,0,0,0,0,0,0,0,0,0
인정,0,0,0,0,0,0,0,0,0,0
혼합,0,0,0,0,0,0,0,0,0,0
훈계,0,0,0,1,0,1,0,0,0,0
야단법석,0,0,0,0,0,0,0,0,0,0
어도비 벽돌,0,0,0,0,0,0,0,0,0,0
청년기,0,0,0,0,0,0,0,0,0,0
한창 젊은,0,0,0,0,0,0,0,0,0,0
입양하다,0,0,0,0,0,0,0,0,0,0
양자,0,0,0,0,0,0,0,0,0,0
사랑스러운,0,0,0,0,1,0,1,0,0,0
동경,0,0,0,0,1,0,1,0,0,1
숭배하다,0,1,0,0,1,0,1,0,0,1
꾸미다,0,0,0,0,0,0,0,0,0,0
장식품,0,0,0,0,0,0,0,0,0,0
떠돌아,0,1,0,1,0,1,0,1,0,0
성인,0,0,0,0,0,0,0,0,0,0
불순물,0,0,0,0,0,1,0,0,0,0
간통,0,0,1,0,0,1,0,1,0,0
전진,0,1,0,1,1,0,1,0,1,0
고급의,0,0,0,0,0,0,1,0,0,0
진보,0,0,0,0,0,0,1,0,0,0
전진,0,0,0,0,0,0,0,0,0,0
이점,0,0,0,0,0,0,1,0,0,0
유리한,0,0,0,0,0,0,1,0,0,0
출현,0,1,0,0,1,0,1,0,0,1
모험,0,1,0,0,0,0,1,0,0,0
모험가,0,0,0,0,0,0,0,0,0,0
모험적인,0,0,0,0,0,0,1,0,0,0
적,1,0,0,0,0,1,0,0,0,0
불리한,1,0,1,1,0,1,0,1,0,0
역경,1,0,0,1,0,1,0,1,0,0
공시 하다,0,0,0,0,0,0,0,0,0,0
광고,0,0,0,0,0,0,0,0,0,0
조언,0,0,0,0,0,0,0,0,0,1
타당한,0,0,0,0,0,0,1,0,0,1
권하다,0,0,0,0,0,0,1,0,0,1
조언,0,0,0,0,0,0,0,0,0,1
조언,0,0,0,0,0,0,0,0,0,0
고문,0,0,0,0,0,0,1,0,0,1
옹호,1,1,0,0,1,0,1,0,0,1
지지하다,0,0,0,0,0,0,0,0,0,1
보호,0,0,0,0,0,0,0,0,0,0
폭기,0,0,0,0,0,0,0,0,0,0
공중선,0,0,0,0,0,0,0,0,0,0
비행장,0,0,0,0,0,0,0,0,0,0
공기역학,0,0,0,0,0,0,0,0,0,0
항공학,0,0,0,0,0,0,0,0,0,0
비행기,0,0,0,0,0,0,0,0,0,0
미적인,0,0,0,0,0,0,1,0,0,0
미학,0,0,0,0,1,0,1,0,0,0
병인학,0,0,0,0,0,0,0,0,0,0
멀리,0,0,0,0,0,0,0,0,0,0
상냥한,0,0,0,0,0,0,1,0,0,0
일,0,0,0,0,0,0,0,0,0,0
영향을 미치는,0,0,0,0,0,0,0,0,0,0
애정,0,0,0,0,1,0,1,0,0,1
애정,0,0,0,0,0,0,0,0,0,0
어피치,0,0,0,0,0,0,0,0,0,0
진술서,0,0,0,0,0,0,0,0,0,0
제휴,0,0,0,0,0,0,1,0,0,0
입회,0,0,0,0,0,0,0,0,0,0
유연,0,0,0,0,0,0,0,0,0,0
확인하다,0,0,0,0,0,0,1,0,0,1
확언,0,0,0,0,0,0,1,0,0,0
긍정적,0,0,0,0,0,0,1,0,0,0
긍정적으로,0,0,0,0,0,0,1,0,0,1
부착,0,0,0,0,0,0,0,0,0,0
괴롭히다,0,0,0,1,0,1,0,1,0,0
고통받는,0,0,0,0,0,1,0,0,0,0
고통,0,0,1,1,0,1,0,1,0,0
풍부,0,0,0,0,1,0,1,0,0,0
풍족한,0,0,0,0,0,0,1,0,0,0
형편이되다,0,0,0,0,0,0,1,0,0,0
모욕,1,0,1,1,0,1,0,1,1,0
멀리,0,0,0,0,0,0,0,0,0,0
전에,0,0,0,0,0,0,0,0,0,0
앞서 말한,0,0,0,0,0,0,0,0,0,0
앞서 말한,0,0,0,0,0,0,0,0,0,0
두려워하는,0,0,0,1,0,1,0,0,0,0
새로이,0,0,0,0,0,0,0,0,0,0
후미,0,0,0,0,0,0,0,0,0,0
여파,1,0,1,1,0,1,0,1,0,0
오후,0,0,0,0,0,0,0,0,0,0
뒷맛,0,0,0,0,0,1,0,0,0,0
보적,0,0,0,0,0,0,0,0,0,0
아가,0,0,0,1,0,0,1,0,0,1
마노,0,0,0,0,0,0,0,0,0,0
나이,0,0,0,0,0,0,0,0,0,0
늙은,0,0,0,0,0,0,0,0,0,0
대행사,0,0,0,0,0,0,0,0,0,0
에이전트,0,0,0,0,0,0,0,0,0,0
덩어리,0,0,0,0,0,0,0,0,0,0
악화,1,0,0,0,0,1,0,0,0,0
악화,1,0,0,0,0,1,0,1,0,0
악화,1,0,1,0,0,1,0,0,0,0
골재,0,0,0,0,0,0,0,0,0,0
집합,0,0,0,0,0,0,0,0,0,0
침략,1,0,0,1,0,1,0,0,0,0
적극적인,1,0,0,1,0,1,0,0,0,0
침략자,1,0,0,1,0,1,0,0,0,0
깜짝 놀라,0,0,1,1,0,1,0,0,1,0
기민한,0,0,0,0,0,0,1,0,0,0
민첩,0,0,0,0,0,0,1,0,0,0
흥분한,1,0,0,0,0,1,0,0,0,0
동요,1,0,0,0,0,1,0,0,0,0
불가지론자,0,0,0,0,0,0,0,0,0,0
~ 전에,0,0,0,0,0,0,0,0,0,0
고뇌하는,0,0,0,1,0,1,0,0,0,0
고뇌,1,0,0,1,0,1,0,1,0,0
동의하다,0,0,0,0,0,0,1,0,0,0
기분 좋은,0,0,0,0,0,0,1,0,0,1
동의,0,0,0,0,0,0,1,0,0,1
동의,0,0,0,0,0,0,1,0,0,1
합의,0,0,0,0,0,0,1,0,0,1
농업,0,0,0,0,0,0,0,0,0,0
농업,0,0,0,0,0,0,1,0,0,0
좌초,0,0,0,0,0,1,0,0,0,0
아구아,0,0,0,0,0,0,0,0,0,0
앞으로,0,0,0,0,0,0,1,0,0,0
지원,0,0,0,0,0,0,1,0,0,0
원조,0,0,0,0,0,0,1,0,0,0
괴롭히다,0,0,0,0,0,1,0,1,0,0
병든,0,0,0,1,0,1,0,1,0,0
병,0,0,0,0,0,0,0,0,0,0
겨냥하다,0,0,0,0,0,0,0,0,0,0
목적 없는,0,0,0,0,0,1,0,0,0,0
공기,0,0,0,0,0,0,0,0,0,0
에어백,0,0,0,0,0,0,0,0,0,0
공수,0,0,0,0,0,0,0,0,0,0
공기 호스,0,0,0,0,0,0,0,0,0,0
비행사,0,0,0,0,0,0,0,0,0,0
비행기,0,0,0,0,0,0,0,0,0,0
공항,0,1,0,0,0,0,0,0,0,0
공기,0,0,1,0,0,1,0,0,0,0
비행선,0,0,0,0,0,0,0,0,0,0
통로,0,0,0,0,0,0,0,0,0,0
아이,0,0,0,0,0,0,0,0,0,0
조금 열려져,0,0,0,0,0,0,0,0,0,0
유사,0,0,0,0,0,0,0,0,0,1
설화 석고,0,0,0,0,0,0,1,0,0,0
경보,0,0,0,1,0,1,0,0,1,0
놀라운,0,0,0,1,0,1,0,0,1,0
장백의,0,0,0,0,0,0,0,0,0,1
앨범,0,0,0,0,0,0,0,0,0,0
연금술,0,0,0,0,0,0,0,0,0,0
술,0,0,0,0,0,0,0,0,0,0
대주,1,0,1,1,0,1,0,1,0,0
반침,0,0,0,0,0,0,0,0,0,0
알리다,0,0,0,0,0,0,0,0,0,0
경보,0,1,0,1,0,0,1,0,1,0
경고,0,1,0,1,0,0,0,0,1,0
자주개자리,0,0,0,0,0,0,0,0,0,0
대수학,0,0,0,0,0,0,0,0,0,0
대수적,0,0,0,0,0,0,0,0,0,0
연산,0,0,0,0,0,0,0,0,0,0
구실,0,0,0,0,0,0,0,0,0,0
외계인,0,0,1,1,0,1,0,0,0,0
소외시키다,1,0,1,0,0,1,0,0,0,0
소외감을 느끼게하다,0,0,0,0,0,1,0,1,0,0
이질성,1,0,1,1,0,1,0,1,0,0
불타고,0,0,0,0,0,0,0,0,0,0
정렬,0,0,0,0,0,0,0,0,0,0
조정,0,0,0,0,0,0,0,0,0,0
서로 같은,0,0,0,0,0,0,0,0,0,0
영양,0,0,0,0,0,0,1,0,0,0
별거 수당,0,0,0,0,0,1,0,0,0,0
분취,0,0,0,0,0,0,0,0,0,0
살아 있는,0,1,0,0,1,0,1,0,0,1
알칼리,0,0,0,0,0,0,0,0,0,0
알칼로이드,0,0,0,0,0,0,0,0,0,0
완화,0,0,0,0,0,0,1,0,0,0
진술,1,0,0,0,0,1,0,0,0,0
주장하다,0,0,0,0,0,1,0,0,0,0
주장,0,0,0,0,0,0,0,0,0,0
충성,0,0,0,0,0,0,1,0,0,1
우화적인,0,0,0,0,0,0,0,0,0,0
우화,0,0,0,0,0,0,0,0,0,0
알레그로,0,0,0,0,0,0,1,0,0,0
덜다,0,0,0,0,0,0,1,0,0,0
경감,0,0,0,0,0,0,1,0,0,0
골목,0,0,0,0,0,0,0,0,0,0
동맹,0,0,0,0,0,0,0,0,0,1
결연한,0,0,0,0,0,0,1,0,0,1
악어,0,0,0,0,0,0,0,0,0,0
할당하다,0,0,0,0,0,0,0,0,0,0
배당,0,0,0,0,0,0,0,0,0,0
할당,0,0,0,0,0,0,0,0,0,0
할당,0,0,0,0,0,0,0,0,0,0
허용,0,0,0,0,0,0,1,0,0,0
용돈,0,0,0,0,0,0,0,0,0,0
허용된,0,0,0,0,0,0,0,0,0,0
합금,0,0,0,0,0,0,0,0,0,0
매력,0,1,0,0,1,0,1,0,1,0
매혹적인,0,0,0,0,0,0,1,0,0,0
암시,0,0,0,0,0,0,0,0,0,0
충적,0,0,0,0,0,0,0,0,0,0
동맹국,0,0,0,0,0,0,1,0,0,1
달력,0,0,0,0,0,0,0,0,0,0
전능자,0,0,0,0,0,0,1,0,0,0
위에,0,0,0,0,0,0,0,0,0,0
알로하,0,1,0,0,1,0,1,0,0,0
나란히,0,0,0,0,0,0,0,0,0,0
쌀쌀한,0,0,0,0,0,1,0,0,0,0
소리 내어,0,0,0,0,0,0,0,0,0,0
알파벳,0,0,0,0,0,0,0,0,0,0
알파벳순,0,0,0,0,0,0,0,0,0,0
제단,0,0,0,0,0,0,0,0,0,0
바꾸다,0,0,0,0,0,0,0,0,0,0
변경,0,0,0,0,0,0,0,0,0,0
언쟁,1,0,0,0,0,1,0,0,0,0
변경된,0,0,0,0,0,0,0,0,0,0
번갈아 하는,0,0,0,0,0,0,0,0,0,0
대안,0,0,0,0,0,0,0,0,0,0
고도,0,0,0,0,0,0,0,0,0,0
알토,0,0,0,0,0,0,0,0,0,0
전부,0,0,0,0,0,0,0,0,0,0
학생,0,0,0,0,0,0,0,0,0,0
폐포,0,0,0,0,0,0,0,0,0,0
아말감,0,0,0,0,0,0,0,0,0,0
융합,0,0,0,0,0,0,0,0,0,0
쌓다,0,0,0,0,0,0,0,0,0,0
아마추어,0,0,0,0,0,0,0,0,0,0
몹시 놀라게 하다,0,0,0,0,0,0,0,0,1,0
놀람,0,0,0,0,0,0,0,0,0,0
놀랍게도,0,0,0,0,1,0,1,0,1,0
대사,0,0,0,0,0,0,1,0,0,1
호박색,0,0,0,0,0,0,0,0,0,0
주변,0,0,0,0,0,0,0,0,0,0
모호,0,0,0,0,0,0,0,0,0,0
모호한,0,0,0,0,0,1,0,0,0,0
범위,0,0,0,0,0,0,0,0,0,0
큰 뜻,0,1,0,0,1,0,1,0,0,1
거창한,0,0,0,0,0,0,0,0,0,0
구급차,0,0,0,1,0,0,0,0,0,1
매복,1,0,0,1,0,1,0,0,1,0
개선하다,0,0,0,0,0,0,1,0,0,0
아멘,0,0,0,0,1,0,1,0,0,1
받을 수 있는,0,0,0,0,0,0,1,0,0,0
개정하다,0,0,0,0,0,0,1,0,0,0
개정,0,0,0,0,0,0,0,0,0,0
보상,0,0,0,0,0,0,1,0,0,0
예의,0,0,0,0,0,0,1,0,0,0
자수정,0,0,0,0,0,0,0,0,0,0
붙임성 있는,0,0,0,0,0,0,1,0,0,0
우호적,0,0,0,0,1,0,1,0,0,0
가운데에,0,0,0,0,0,0,0,0,0,0
한가운데,0,0,0,0,0,0,0,0,0,0
암모니아,0,0,1,0,0,0,0,0,0,0
탄약,0,0,0,0,0,0,0,0,0,0
기억력 상실,0,0,0,0,0,1,0,0,0,0
특사,0,0,0,0,1,0,1,0,0,0
무정형,0,0,0,0,0,0,0,0,0,0
상각,0,0,0,0,0,0,0,0,0,1
양,0,0,0,0,0,0,0,0,0,0
정사,0,1,0,0,1,0,1,0,0,1
앰퍼샌드,0,0,0,0,0,0,0,0,0,0
암페타민,0,0,1,0,0,1,0,0,0,0
수륙 양용 비행기,0,0,0,0,0,0,0,0,0,0
수륙 양용,0,0,0,0,0,0,0,0,0,0
원형 극장,0,0,0,0,0,0,0,0,0,0
확대,0,0,0,0,0,0,0,0,0,0
더욱 상세히하다,0,0,0,0,0,0,0,0,0,0
진폭,0,0,0,0,0,0,0,0,0,0
충분히,0,0,0,0,0,0,0,0,0,0
절단,0,0,0,0,0,0,0,0,0,0
부적,0,0,0,0,0,0,0,0,0,0
기쁘게하다,0,0,0,0,1,0,1,0,0,0
즐기는,0,0,0,0,1,0,1,0,0,0
즐거움,0,0,0,0,1,0,1,0,0,0
즐거움,0,0,0,0,1,0,1,0,0,0
어록,0,0,0,0,0,0,0,0,0,0
아나콘다,0,0,1,1,0,1,0,0,0,0
마취,0,0,0,0,0,0,0,0,0,0
마취제,0,0,0,0,0,0,0,0,0,0
항문,0,0,0,0,0,1,0,0,0,0
진통제,0,0,0,0,0,0,0,0,0,0
유사한,0,0,0,0,0,0,0,0,0,0
비슷한 물건,0,0,0,0,0,0,0,0,0,0
유추,0,0,0,0,0,0,0,0,0,0
분석,0,0,0,0,0,0,0,0,0,0
분석자,0,1,0,0,0,0,1,0,0,1
분석적,0,0,0,0,0,0,0,0,0,0
분석하다,0,0,0,0,0,0,0,0,0,0
분석기,0,0,0,0,0,0,0,0,0,0
무정부주의,1,0,0,1,0,1,0,0,0,0
무정부주의자,1,0,0,1,0,1,0,0,0,0
무정부 상태,1,0,0,1,0,1,0,0,0,0
문합,0,0,0,0,0,0,0,0,0,0
저주,1,0,1,1,0,1,0,1,0,0
해부학적,0,0,0,0,0,0,0,0,0,0
해부,0,0,0,0,0,0,0,0,0,0
선조,0,0,0,0,0,0,0,0,0,0
조상의,0,0,0,0,0,0,0,0,0,1
가계,0,0,0,0,0,0,0,0,0,0
닻,0,0,0,0,0,0,1,0,0,0
앵커리지,0,0,0,0,0,0,1,1,0,0
고대의,0,0,0,0,0,1,0,0,0,0
보조,0,0,0,0,0,0,0,0,0,0
안드로겐,0,0,0,0,0,0,0,0,0,0
아네모네,0,0,0,0,0,0,0,0,0,0
다시 한번,0,0,0,0,0,0,0,0,0,0
천사,0,1,0,0,1,0,1,0,1,1
천사의,0,0,0,0,1,0,1,0,0,1
화,1,0,0,0,0,1,0,0,0,0
협심증,0,0,0,1,0,1,0,0,0,0
혈관 조영술,0,0,0,0,0,0,0,0,0,0
각도,0,0,0,0,0,0,0,0,0,0
낚시,0,1,0,0,0,1,0,0,0,0
화난,1,0,1,0,0,1,0,0,0,0
격통,1,0,0,1,0,1,0,1,0,0
모난,0,0,0,0,0,0,0,0,0,0
무수,0,0,0,0,0,0,0,0,0,0
동물,0,0,0,0,0,0,0,0,0,0
생명 있는,0,0,0,0,0,0,1,0,0,0
생기 있는,0,0,0,0,1,0,1,0,0,0
생기,0,0,0,0,0,0,0,0,0,0
악의,1,0,1,1,0,1,0,1,0,0
적의,1,0,0,0,0,1,0,0,0,0
발목,0,0,0,0,0,0,0,0,0,0
연대기,0,0,0,0,0,0,0,0,0,0
신관,0,0,0,0,0,0,0,0,0,0
부가,0,0,0,0,0,0,0,0,0,0
신관,0,0,0,0,0,0,0,0,0,0
억누르다,1,0,0,1,0,1,0,0,0,0
전멸,1,0,0,1,0,1,0,1,0,0
전멸,1,0,0,1,0,1,0,1,0,0
주석을 달다,0,0,0,0,0,0,0,0,0,0
주석,0,0,0,0,0,0,0,0,0,0
발표하다,0,0,0,0,0,0,0,0,0,0
발표,0,1,0,0,0,0,0,0,0,0
짜증나게 하다,1,0,1,0,0,1,0,0,0,0
성가심,1,0,1,0,0,1,0,0,0,0
성가신,1,0,0,0,0,1,0,0,0,0
연금,0,0,0,0,0,0,0,0,0,0
무효,0,0,0,0,0,1,0,0,0,0
환상,0,0,0,0,0,0,0,0,0,0
무효 선언,0,0,0,0,0,1,0,1,0,0
고리,0,0,0,0,0,0,0,0,0,0
기름부음,0,0,0,0,0,0,0,0,0,0
변칙적인,0,0,0,0,0,0,0,0,0,0
변칙,0,0,0,1,0,1,0,0,1,0
곧,0,0,0,0,0,0,0,0,0,0
익명의,0,0,0,0,0,1,0,0,0,0
대답,0,0,0,0,0,0,0,0,0,0
답할 수 있는,0,0,0,0,0,0,0,0,0,1
대답,0,0,0,0,0,0,0,0,0,0
개미,0,0,0,0,0,0,0,0,0,0
반대,1,0,0,0,0,1,0,0,0,0
길항근,1,0,0,0,0,1,0,0,0,0
적대적인,1,0,1,0,0,1,0,0,0,0
앤티,0,0,0,0,0,0,0,0,0,0
전례,0,0,0,0,0,0,0,0,0,0
영양,0,0,0,0,0,0,0,0,0,0
안테나,0,0,0,0,0,0,0,0,0,0
전의,0,0,0,0,0,0,0,0,0,0
축가,0,0,0,0,0,0,0,0,0,0
시집,0,0,0,0,0,0,0,0,0,0
탄저병,0,0,1,1,0,1,0,1,0,0
인류학,0,0,0,0,0,0,0,0,0,0
항생 물질,0,0,0,0,0,0,0,0,0,0
항생제,0,0,0,0,0,0,1,0,0,0
적그리스도,1,0,1,1,0,1,0,0,0,0
예기,0,1,0,0,0,0,0,0,0,0
